date,species,trap,latitude,longitude,wnvpresent,nummosquitos,year,month,day
2007-05-29,CULEX RESTUANS,T159,41.732984,-87.649642,0,1,2007,05,29
2007-05-29,CULEX PIPIENS/RESTUANS,T129,41.891126,-87.61156,0,1,2007,05,29
2007-05-29,CULEX RESTUANS,T129,41.891126,-87.61156,0,2,2007,05,29
2007-06-05,CULEX PIPIENS,T048,41.867108,-87.654224,0,2,2007,06,05
2007-06-05,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,0,1,2007,06,05
2007-06-05,CULEX RESTUANS,T048,41.867108,-87.654224,0,1,2007,06,05
2007-06-05,CULEX PIPIENS/RESTUANS,T092,41.869215999999994,-87.627561,0,1,2007,06,05
2007-06-05,CULEX RESTUANS,T049,41.896282,-87.655232,0,2,2007,06,05
2007-06-05,CULEX RESTUANS,T033,41.906638,-87.701431,0,3,2007,06,05
2007-06-05,CULEX RESTUANS,T153,41.907645,-87.760886,0,3,2007,06,05
2007-06-05,CULEX PIPIENS/RESTUANS,T149,41.994469,-87.667736,0,1,2007,06,05
2007-06-05,CULEX PIPIENS,T045,41.9216,-87.666455,0,1,2007,06,05
2007-06-05,CULEX PIPIENS/RESTUANS,T045,41.9216,-87.666455,0,1,2007,06,05
2007-06-05,CULEX RESTUANS,T045,41.9216,-87.666455,0,2,2007,06,05
2007-06-05,CULEX PIPIENS/RESTUANS,T094,41.720848,-87.666014,0,2,2007,06,05
2007-06-05,CULEX RESTUANS,T150,42.006858,-87.675919,0,2,2007,06,05
2007-06-05,CULEX RESTUANS,T154,41.918704999999996,-87.752329,0,1,2007,06,05
2007-06-05,CULEX PIPIENS/RESTUANS,T050,41.919343,-87.694259,0,1,2007,06,05
2007-06-05,CULEX RESTUANS,T050,41.919343,-87.694259,0,1,2007,06,05
2007-06-05,CULEX RESTUANS,T054,41.921965,-87.632085,0,3,2007,06,05
2007-06-05,CULEX RESTUANS,T086,41.688324,-87.676709,0,4,2007,06,05
2007-06-05,CULEX PIPIENS,T096,41.731922,-87.677512,0,1,2007,06,05
2007-06-05,CULEX PIPIENS/RESTUANS,T096,41.731922,-87.677512,0,1,2007,06,05
2007-06-05,CULEX RESTUANS,T096,41.731922,-87.677512,0,1,2007,06,05
2007-06-05,CULEX RESTUANS,T152,41.846075,-87.716277,0,1,2007,06,05
2007-06-05,CULEX RESTUANS,T046,41.891118,-87.65449100000001,0,1,2007,06,05
2007-06-05,CULEX RESTUANS,T147,41.932094,-87.700117,0,1,2007,06,05
2007-06-05,CULEX PIPIENS/RESTUANS,T158,41.682587,-87.707973,0,3,2007,06,05
2007-06-05,CULEX RESTUANS,T158,41.682587,-87.707973,0,8,2007,06,05
2007-06-05,CULEX RESTUANS,T011,41.944869,-87.832763,0,1,2007,06,05
2007-06-05,CULEX PIPIENS/RESTUANS,T218,41.948167,-87.730698,0,2,2007,06,05
2007-06-05,CULEX RESTUANS,T218,41.948167,-87.730698,0,1,2007,06,05
2007-06-05,CULEX RESTUANS,T019,41.94983,-87.69845699999999,0,1,2007,06,05
2007-06-05,CULEX PIPIENS/RESTUANS,T142,41.953067,-87.776792,0,1,2007,06,05
2007-06-05,CULEX RESTUANS,T142,41.953067,-87.776792,0,3,2007,06,05
2007-06-05,CULEX PIPIENS,T002,41.95469,-87.800991,0,1,2007,06,05
2007-06-05,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,0,3,2007,06,05
2007-06-05,CULEX RESTUANS,T002,41.95469,-87.800991,0,5,2007,06,05
2007-06-05,CULEX PIPIENS/RESTUANS,T146,41.958271,-87.702575,0,1,2007,06,05
2007-06-05,CULEX RESTUANS,T146,41.958271,-87.702575,0,2,2007,06,05
2007-06-05,CULEX PIPIENS,T135,41.662014,-87.72460799999999,0,1,2007,06,05
2007-06-05,CULEX PIPIENS/RESTUANS,T135,41.662014,-87.72460799999999,0,2,2007,06,05
2007-06-05,CULEX RESTUANS,T135,41.662014,-87.72460799999999,0,4,2007,06,05
2007-06-05,CULEX RESTUANS,T220,41.963976,-87.69181,0,1,2007,06,05
2007-06-05,CULEX RESTUANS,T025,41.979243,-87.750938,0,1,2007,06,05
2007-06-05,CULEX PIPIENS/RESTUANS,T031,41.801497999999995,-87.763416,0,1,2007,06,05
2007-06-05,CULEX PIPIENS/RESTUANS,T141,41.961743,-87.76007,0,1,2007,06,05
2007-06-05,CULEX RESTUANS,T141,41.961743,-87.76007,0,2,2007,06,05
2007-06-05,CULEX RESTUANS,T028,41.986921,-87.689778,0,2,2007,06,05
2007-06-05,CULEX PIPIENS/RESTUANS,T143,41.999128999999996,-87.795585,0,2,2007,06,05
2007-06-05,CULEX RESTUANS,T143,41.999128999999996,-87.795585,0,9,2007,06,05
2007-06-05,CULEX PIPIENS/RESTUANS,T151,41.916265,-87.800515,0,1,2007,06,05
2007-06-05,CULEX RESTUANS,T151,41.916265,-87.800515,0,10,2007,06,05
2007-06-05,CULEX RESTUANS,T016,42.011601,-87.81150600000001,0,1,2007,06,05
2007-06-05,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,0,1,2007,06,05
2007-06-05,CULEX RESTUANS,T015,41.974089,-87.824812,0,2,2007,06,05
2007-06-05,CULEX RESTUANS,T159,41.732984,-87.649642,0,1,2007,06,05
2007-06-05,CULEX RESTUANS,T009,41.981964000000005,-87.812827,0,2,2007,06,05
2007-06-05,CULEX PIPIENS/RESTUANS,T162,41.725516999999996,-87.61425799999999,0,1,2007,06,05
2007-06-05,CULEX RESTUANS,T145,41.878114000000004,-87.629798,0,3,2007,06,05
2007-06-05,CULEX RESTUANS,T089,41.723195000000004,-87.64997,0,1,2007,06,05
2007-06-05,CULEX PIPIENS/RESTUANS,T090,41.868077,-87.666901,0,1,2007,06,05
2007-06-05,CULEX RESTUANS,T090,41.868077,-87.666901,0,7,2007,06,05
2007-06-26,CULEX PIPIENS,T088,41.869107,-87.69629300000001,0,1,2007,06,26
2007-06-26,CULEX RESTUANS,T085,41.721474,-87.648064,0,2,2007,06,26
2007-06-26,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,0,2,2007,06,26
2007-06-26,CULEX PIPIENS/RESTUANS,T047,41.868142,-87.696269,0,1,2007,06,26
2007-06-26,CULEX RESTUANS,T047,41.868142,-87.696269,0,1,2007,06,26
2007-06-26,CULEX RESTUANS,T049,41.896282,-87.655232,0,1,2007,06,26
2007-06-26,CULEX PIPIENS/RESTUANS,T033,41.906638,-87.701431,0,2,2007,06,26
2007-06-26,CULEX RESTUANS,T033,41.906638,-87.701431,0,3,2007,06,26
2007-06-26,CULEX PIPIENS/RESTUANS,T045,41.9216,-87.666455,0,1,2007,06,26
2007-06-26,CULEX RESTUANS,T045,41.9216,-87.666455,0,1,2007,06,26
2007-06-26,CULEX RESTUANS,T150,42.006858,-87.675919,0,2,2007,06,26
2007-06-26,CULEX RESTUANS,T219,41.966986999999996,-87.674677,0,1,2007,06,26
2007-06-26,CULEX RESTUANS,T050,41.919343,-87.694259,0,1,2007,06,26
2007-06-26,CULEX PIPIENS/RESTUANS,T040,41.852652,-87.719887,0,5,2007,06,26
2007-06-26,CULEX RESTUANS,T040,41.852652,-87.719887,0,1,2007,06,26
2007-06-26,CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,0,2,2007,06,26
2007-06-26,CULEX RESTUANS,T086,41.688324,-87.676709,0,2,2007,06,26
2007-06-26,CULEX RESTUANS,T096,41.731922,-87.677512,0,5,2007,06,26
2007-06-26,CULEX PIPIENS/RESTUANS,T051,41.846283,-87.656913,0,1,2007,06,26
2007-06-26,CULEX PIPIENS/RESTUANS,T046,41.891118,-87.65449100000001,0,1,2007,06,26
2007-06-26,CULEX RESTUANS,T046,41.891118,-87.65449100000001,0,6,2007,06,26
2007-06-26,CULEX RESTUANS,T034,41.843810999999995,-87.686763,0,1,2007,06,26
2007-06-26,CULEX RESTUANS,T147,41.932094,-87.700117,0,1,2007,06,26
2007-06-26,CULEX RESTUANS,T043,41.857402,-87.694991,0,1,2007,06,26
2007-06-26,CULEX PIPIENS/RESTUANS,T158,41.682587,-87.707973,0,1,2007,06,26
2007-06-26,CULEX RESTUANS,T158,41.682587,-87.707973,0,4,2007,06,26
2007-06-26,CULEX PIPIENS/RESTUANS,T011,41.944869,-87.832763,0,2,2007,06,26
2007-06-26,CULEX RESTUANS,T011,41.944869,-87.832763,0,4,2007,06,26
2007-06-26,CULEX RESTUANS,T019,41.94983,-87.69845699999999,0,1,2007,06,26
2007-06-26,CULEX RESTUANS,T142,41.953067,-87.776792,0,4,2007,06,26
2007-06-26,CULEX PIPIENS/RESTUANS,T001,41.953705,-87.733974,0,1,2007,06,26
2007-06-26,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,0,1,2007,06,26
2007-06-26,CULEX RESTUANS,T002,41.95469,-87.800991,0,4,2007,06,26
2007-06-26,CULEX SALINARIUS,T002,41.95469,-87.800991,0,1,2007,06,26
2007-06-26,CULEX RESTUANS,T146,41.958271,-87.702575,0,6,2007,06,26
2007-06-26,CULEX PIPIENS,T135,41.662014,-87.72460799999999,0,6,2007,06,26
2007-06-26,CULEX PIPIENS/RESTUANS,T135,41.662014,-87.72460799999999,0,20,2007,06,26
2007-06-26,CULEX RESTUANS,T135,41.662014,-87.72460799999999,0,25,2007,06,26
2007-06-26,CULEX RESTUANS,T220,41.963976,-87.69181,0,1,2007,06,26
2007-06-26,CULEX RESTUANS,T003,41.964242,-87.757639,0,2,2007,06,26
2007-06-26,CULEX PIPIENS/RESTUANS,T025,41.979243,-87.750938,0,1,2007,06,26
2007-06-26,CULEX PIPIENS/RESTUANS,T141,41.961743,-87.76007,0,1,2007,06,26
2007-06-26,CULEX RESTUANS,T141,41.961743,-87.76007,0,3,2007,06,26
2007-06-26,CULEX PIPIENS/RESTUANS,T028,41.986921,-87.689778,0,1,2007,06,26
2007-06-26,CULEX RESTUANS,T028,41.986921,-87.689778,0,9,2007,06,26
2007-06-26,CULEX PIPIENS/RESTUANS,T006,41.990284,-87.797127,0,1,2007,06,26
2007-06-26,CULEX RESTUANS,T006,41.990284,-87.797127,0,1,2007,06,26
2007-06-26,CULEX PIPIENS/RESTUANS,T012,41.991429,-87.747113,0,2,2007,06,26
2007-06-26,CULEX PIPIENS/RESTUANS,T007,41.994991,-87.769279,0,1,2007,06,26
2007-06-26,CULEX RESTUANS,T007,41.994991,-87.769279,0,4,2007,06,26
2007-06-26,CULEX PIPIENS/RESTUANS,T143,41.999128999999996,-87.795585,0,1,2007,06,26
2007-06-26,CULEX RESTUANS,T143,41.999128999999996,-87.795585,0,1,2007,06,26
2007-06-26,CULEX RESTUANS,T037,41.921177,-87.79518,0,1,2007,06,26
2007-06-26,CULEX RESTUANS,T008,42.008314,-87.77792099999999,0,2,2007,06,26
2007-06-26,CULEX PIPIENS/RESTUANS,T151,41.916265,-87.800515,0,3,2007,06,26
2007-06-26,CULEX RESTUANS,T151,41.916265,-87.800515,0,6,2007,06,26
2007-06-26,CULEX PIPIENS/RESTUANS,T016,42.011601,-87.81150600000001,0,2,2007,06,26
2007-06-26,CULEX RESTUANS,T016,42.011601,-87.81150600000001,0,2,2007,06,26
2007-06-26,CULEX PIPIENS/RESTUANS,T148,42.01743,-87.68776899999999,0,2,2007,06,26
2007-06-26,CULEX RESTUANS,T148,42.01743,-87.68776899999999,0,2,2007,06,26
2007-06-26,CULEX RESTUANS,T015,41.974089,-87.824812,0,1,2007,06,26
2007-06-26,CULEX PIPIENS/RESTUANS,T161,41.719059,-87.675088,0,3,2007,06,26
2007-06-26,CULEX RESTUANS,T161,41.719059,-87.675088,0,5,2007,06,26
2007-06-26,CULEX RESTUANS,T145,41.878114000000004,-87.629798,0,1,2007,06,26
2007-06-26,CULEX PIPIENS/RESTUANS,T129,41.891126,-87.61156,0,1,2007,06,26
2007-06-26,CULEX RESTUANS,T129,41.891126,-87.61156,0,1,2007,06,26
2007-06-26,CULEX PIPIENS,T090,41.868077,-87.666901,0,1,2007,06,26
2007-06-26,CULEX PIPIENS/RESTUANS,T090,41.868077,-87.666901,0,10,2007,06,26
2007-06-26,CULEX RESTUANS,T090,41.868077,-87.666901,0,19,2007,06,26
2007-06-29,CULEX PIPIENS/RESTUANS,T030,41.899229999999996,-87.716788,0,1,2007,06,29
2007-06-29,CULEX RESTUANS,T030,41.899229999999996,-87.716788,0,1,2007,06,29
2007-06-29,CULEX PIPIENS,T085,41.721474,-87.648064,0,1,2007,06,29
2007-06-29,CULEX PIPIENS/RESTUANS,T085,41.721474,-87.648064,0,1,2007,06,29
2007-06-29,CULEX PIPIENS/RESTUANS,T160,41.903002,-87.68826700000001,0,1,2007,06,29
2007-06-29,CULEX PIPIENS/RESTUANS,T091,41.862292,-87.64886,0,1,2007,06,29
2007-06-29,CULEX RESTUANS,T018,42.010412,-87.66214000000001,0,1,2007,06,29
2007-06-29,CULEX RESTUANS,T153,41.907645,-87.760886,0,1,2007,06,29
2007-06-29,CULEX RESTUANS,T150,42.006858,-87.675919,0,1,2007,06,29
2007-06-29,CULEX PIPIENS/RESTUANS,T084,41.692555,-87.598865,0,1,2007,06,29
2007-06-29,CULEX RESTUANS,T084,41.692555,-87.598865,0,1,2007,06,29
2007-06-29,CULEX PIPIENS/RESTUANS,T054,41.921965,-87.632085,0,3,2007,06,29
2007-06-29,CULEX PIPIENS,T086,41.688324,-87.676709,0,1,2007,06,29
2007-06-29,CULEX RESTUANS,T086,41.688324,-87.676709,0,2,2007,06,29
2007-06-29,CULEX RESTUANS,T096,41.731922,-87.677512,0,1,2007,06,29
2007-06-29,CULEX RESTUANS,T046,41.891118,-87.65449100000001,0,2,2007,06,29
2007-06-29,CULEX PIPIENS/RESTUANS,T043,41.857402,-87.694991,0,2,2007,06,29
2007-06-29,CULEX RESTUANS,T043,41.857402,-87.694991,0,3,2007,06,29
2007-06-29,CULEX PIPIENS/RESTUANS,T144,41.94016,-87.794896,0,1,2007,06,29
2007-06-29,CULEX RESTUANS,T158,41.682587,-87.707973,0,6,2007,06,29
2007-06-29,CULEX RESTUANS,T218,41.948167,-87.730698,0,5,2007,06,29
2007-06-29,CULEX RESTUANS,T142,41.953067,-87.776792,0,1,2007,06,29
2007-06-29,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,0,2,2007,06,29
2007-06-29,CULEX RESTUANS,T146,41.958271,-87.702575,0,2,2007,06,29
2007-06-29,CULEX RESTUANS,T135,41.662014,-87.72460799999999,0,3,2007,06,29
2007-06-29,CULEX PIPIENS,T031,41.801497999999995,-87.763416,0,1,2007,06,29
2007-06-29,CULEX RESTUANS,T141,41.961743,-87.76007,0,1,2007,06,29
2007-06-29,CULEX PIPIENS/RESTUANS,T028,41.986921,-87.689778,0,2,2007,06,29
2007-06-29,CULEX RESTUANS,T028,41.986921,-87.689778,0,1,2007,06,29
2007-06-29,CULEX RESTUANS,T006,41.990284,-87.797127,0,1,2007,06,29
2007-06-29,CULEX PIPIENS/RESTUANS,T012,41.991429,-87.747113,0,1,2007,06,29
2007-06-29,CULEX PIPIENS/RESTUANS,T013,41.923738,-87.785288,0,1,2007,06,29
2007-06-29,CULEX RESTUANS,T014,41.970248,-87.787992,0,1,2007,06,29
2007-06-29,CULEX RESTUANS,T143,41.999128999999996,-87.795585,0,3,2007,06,29
2007-06-29,CULEX PIPIENS/RESTUANS,T151,41.916265,-87.800515,0,1,2007,06,29
2007-06-29,CULEX RESTUANS,T151,41.916265,-87.800515,0,5,2007,06,29
2007-06-29,CULEX PIPIENS/RESTUANS,T016,42.011601,-87.81150600000001,0,2,2007,06,29
2007-06-29,CULEX PIPIENS/RESTUANS,T148,42.01743,-87.68776899999999,0,2,2007,06,29
2007-06-29,CULEX RESTUANS,T148,42.01743,-87.68776899999999,0,2,2007,06,29
2007-06-29,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,0,1,2007,06,29
2007-06-29,CULEX RESTUANS,T015,41.974089,-87.824812,0,2,2007,06,29
2007-06-29,CULEX RESTUANS,T145,41.878114000000004,-87.629798,0,1,2007,06,29
2007-06-29,CULEX RESTUANS,T089,41.723195000000004,-87.64997,0,2,2007,06,29
2007-06-29,CULEX PIPIENS,T090,41.868077,-87.666901,0,3,2007,06,29
2007-06-29,CULEX PIPIENS/RESTUANS,T090,41.868077,-87.666901,0,1,2007,06,29
2007-06-29,CULEX RESTUANS,T090,41.868077,-87.666901,0,6,2007,06,29
2007-07-02,CULEX PIPIENS/RESTUANS,T030,41.899229999999996,-87.716788,0,3,2007,07,02
2007-07-02,CULEX RESTUANS,T030,41.899229999999996,-87.716788,0,2,2007,07,02
2007-07-02,CULEX PIPIENS/RESTUANS,T088,41.869107,-87.69629300000001,0,1,2007,07,02
2007-07-02,CULEX PIPIENS/RESTUANS,T085,41.721474,-87.648064,0,2,2007,07,02
2007-07-02,CULEX RESTUANS,T048,41.867108,-87.654224,0,1,2007,07,02
2007-07-02,CULEX PIPIENS/RESTUANS,T047,41.868142,-87.696269,0,4,2007,07,02
2007-07-02,CULEX RESTUANS,T047,41.868142,-87.696269,0,8,2007,07,02
2007-07-02,CULEX RESTUANS,T092,41.869215999999994,-87.627561,0,2,2007,07,02
2007-07-02,CULEX PIPIENS/RESTUANS,T018,42.010412,-87.66214000000001,0,1,2007,07,02
2007-07-02,CULEX PIPIENS/RESTUANS,T149,41.994469,-87.667736,0,1,2007,07,02
2007-07-02,CULEX RESTUANS,T149,41.994469,-87.667736,0,1,2007,07,02
2007-07-02,CULEX PIPIENS/RESTUANS,T045,41.9216,-87.666455,0,2,2007,07,02
2007-07-02,CULEX RESTUANS,T045,41.9216,-87.666455,0,2,2007,07,02
2007-07-02,CULEX PIPIENS/RESTUANS,T154,41.918704999999996,-87.752329,0,1,2007,07,02
2007-07-02,CULEX PIPIENS/RESTUANS,T054,41.921965,-87.632085,0,2,2007,07,02
2007-07-02,CULEX RESTUANS,T054,41.921965,-87.632085,0,1,2007,07,02
2007-07-02,CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,0,2,2007,07,02
2007-07-02,CULEX RESTUANS,T086,41.688324,-87.676709,0,3,2007,07,02
2007-07-02,CULEX PIPIENS,T096,41.731922,-87.677512,0,3,2007,07,02
2007-07-02,CULEX PIPIENS/RESTUANS,T096,41.731922,-87.677512,0,3,2007,07,02
2007-07-02,CULEX RESTUANS,T096,41.731922,-87.677512,0,4,2007,07,02
2007-07-02,CULEX PIPIENS/RESTUANS,T152,41.846075,-87.716277,0,1,2007,07,02
2007-07-02,CULEX PIPIENS/RESTUANS,T051,41.846283,-87.656913,0,1,2007,07,02
2007-07-02,CULEX PIPIENS/RESTUANS,T046,41.891118,-87.65449100000001,0,3,2007,07,02
2007-07-02,CULEX RESTUANS,T046,41.891118,-87.65449100000001,0,16,2007,07,02
2007-07-02,CULEX PIPIENS/RESTUANS,T043,41.857402,-87.694991,0,5,2007,07,02
2007-07-02,CULEX PIPIENS/RESTUANS,T095,41.704336,-87.70373599999999,0,1,2007,07,02
2007-07-02,CULEX PIPIENS/RESTUANS,T044,41.883284,-87.705085,0,2,2007,07,02
2007-07-02,CULEX RESTUANS,T044,41.883284,-87.705085,0,1,2007,07,02
2007-07-02,CULEX PIPIENS/RESTUANS,T158,41.682587,-87.707973,0,28,2007,07,02
2007-07-02,CULEX RESTUANS,T158,41.682587,-87.707973,0,4,2007,07,02
2007-07-02,CULEX PIPIENS/RESTUANS,T011,41.944869,-87.832763,0,6,2007,07,02
2007-07-02,CULEX PIPIENS/RESTUANS,T218,41.948167,-87.730698,0,2,2007,07,02
2007-07-02,CULEX RESTUANS,T019,41.94983,-87.69845699999999,0,1,2007,07,02
2007-07-02,CULEX PIPIENS/RESTUANS,T142,41.953067,-87.776792,0,1,2007,07,02
2007-07-02,CULEX RESTUANS,T142,41.953067,-87.776792,0,1,2007,07,02
2007-07-02,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,0,3,2007,07,02
2007-07-02,CULEX RESTUANS,T002,41.95469,-87.800991,0,2,2007,07,02
2007-07-02,CULEX RESTUANS,T146,41.958271,-87.702575,0,1,2007,07,02
2007-07-02,CULEX PIPIENS/RESTUANS,T135,41.662014,-87.72460799999999,0,16,2007,07,02
2007-07-02,CULEX RESTUANS,T135,41.662014,-87.72460799999999,0,12,2007,07,02
2007-07-02,CULEX SALINARIUS,T135,41.662014,-87.72460799999999,0,2,2007,07,02
2007-07-02,CULEX RESTUANS,T003,41.964242,-87.757639,0,1,2007,07,02
2007-07-02,CULEX PIPIENS,T028,41.986921,-87.689778,0,1,2007,07,02
2007-07-02,CULEX PIPIENS/RESTUANS,T028,41.986921,-87.689778,0,1,2007,07,02
2007-07-02,CULEX RESTUANS,T028,41.986921,-87.689778,0,5,2007,07,02
2007-07-02,CULEX RESTUANS,T006,41.990284,-87.797127,0,1,2007,07,02
2007-07-02,CULEX PIPIENS/RESTUANS,T017,41.960615999999995,-87.777189,0,1,2007,07,02
2007-07-02,CULEX PIPIENS/RESTUANS,T005,41.942114000000004,-87.776385,0,3,2007,07,02
2007-07-02,CULEX SALINARIUS,T012,41.991429,-87.747113,0,1,2007,07,02
2007-07-02,CULEX PIPIENS/RESTUANS,T013,41.923738,-87.785288,0,6,2007,07,02
2007-07-02,CULEX RESTUANS,T013,41.923738,-87.785288,0,1,2007,07,02
2007-07-02,CULEX PIPIENS/RESTUANS,T007,41.994991,-87.769279,0,4,2007,07,02
2007-07-02,CULEX RESTUANS,T007,41.994991,-87.769279,0,4,2007,07,02
2007-07-02,CULEX PIPIENS/RESTUANS,T014,41.970248,-87.787992,0,5,2007,07,02
2007-07-02,CULEX RESTUANS,T014,41.970248,-87.787992,0,1,2007,07,02
2007-07-02,CULEX PIPIENS/RESTUANS,T037,41.921177,-87.79518,0,1,2007,07,02
2007-07-02,CULEX RESTUANS,T037,41.921177,-87.79518,0,2,2007,07,02
2007-07-02,CULEX PIPIENS/RESTUANS,T008,42.008314,-87.77792099999999,0,4,2007,07,02
2007-07-02,CULEX RESTUANS,T008,42.008314,-87.77792099999999,0,3,2007,07,02
2007-07-02,CULEX PIPIENS/RESTUANS,T151,41.916265,-87.800515,0,5,2007,07,02
2007-07-02,CULEX RESTUANS,T151,41.916265,-87.800515,0,2,2007,07,02
2007-07-02,CULEX RESTUANS,T016,42.011601,-87.81150600000001,0,1,2007,07,02
2007-07-02,CULEX RESTUANS,T148,42.01743,-87.68776899999999,0,1,2007,07,02
2007-07-02,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,0,3,2007,07,02
2007-07-02,CULEX RESTUANS,T009,41.981964000000005,-87.812827,0,2,2007,07,02
2007-07-02,CULEX PIPIENS/RESTUANS,T161,41.719059,-87.675088,0,3,2007,07,02
2007-07-02,CULEX RESTUANS,T161,41.719059,-87.675088,0,2,2007,07,02
2007-07-02,CULEX SALINARIUS,T145,41.878114000000004,-87.629798,0,1,2007,07,02
2007-07-02,CULEX PIPIENS/RESTUANS,T129,41.891126,-87.61156,0,2,2007,07,02
2007-07-02,CULEX RESTUANS,T129,41.891126,-87.61156,0,1,2007,07,02
2007-07-02,CULEX PIPIENS/RESTUANS,T089,41.723195000000004,-87.64997,0,1,2007,07,02
2007-07-02,CULEX PIPIENS/RESTUANS,T090,41.868077,-87.666901,0,2,2007,07,02
2007-07-02,CULEX RESTUANS,T090,41.868077,-87.666901,0,11,2007,07,02
2007-07-11,CULEX PIPIENS/RESTUANS,T073,41.773215,-87.60088,0,2,2007,07,11
2007-07-11,CULEX RESTUANS,T073,41.773215,-87.60088,0,3,2007,07,11
2007-07-11,CULEX PIPIENS,T030,41.899229999999996,-87.716788,0,5,2007,07,11
2007-07-11,CULEX PIPIENS/RESTUANS,T030,41.899229999999996,-87.716788,0,6,2007,07,11
2007-07-11,CULEX RESTUANS,T030,41.899229999999996,-87.716788,0,4,2007,07,11
2007-07-11,CULEX PIPIENS/RESTUANS,T088,41.869107,-87.69629300000001,0,5,2007,07,11
2007-07-11,CULEX RESTUANS,T088,41.869107,-87.69629300000001,0,4,2007,07,11
2007-07-11,CULEX PIPIENS/RESTUANS,T085,41.721474,-87.648064,0,15,2007,07,11
2007-07-11,CULEX PIPIENS,T160,41.903002,-87.68826700000001,0,1,2007,07,11
2007-07-11,CULEX PIPIENS/RESTUANS,T160,41.903002,-87.68826700000001,0,16,2007,07,11
2007-07-11,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,0,3,2007,07,11
2007-07-11,CULEX RESTUANS,T048,41.867108,-87.654224,0,1,2007,07,11
2007-07-11,CULEX PIPIENS,T047,41.868142,-87.696269,0,1,2007,07,11
2007-07-11,CULEX PIPIENS/RESTUANS,T047,41.868142,-87.696269,0,2,2007,07,11
2007-07-11,CULEX PIPIENS,T091,41.862292,-87.64886,0,1,2007,07,11
2007-07-11,CULEX PIPIENS/RESTUANS,T091,41.862292,-87.64886,0,14,2007,07,11
2007-07-11,CULEX PIPIENS,T092,41.869215999999994,-87.627561,0,1,2007,07,11
2007-07-11,CULEX PIPIENS/RESTUANS,T092,41.869215999999994,-87.627561,0,5,2007,07,11
2007-07-11,CULEX PIPIENS/RESTUANS,T049,41.896282,-87.655232,0,2,2007,07,11
2007-07-11,CULEX RESTUANS,T049,41.896282,-87.655232,0,1,2007,07,11
2007-07-11,CULEX PIPIENS/RESTUANS,T033,41.906638,-87.701431,0,1,2007,07,11
2007-07-11,CULEX PIPIENS/RESTUANS,T045,41.9216,-87.666455,0,4,2007,07,11
2007-07-11,CULEX RESTUANS,T045,41.9216,-87.666455,0,1,2007,07,11
2007-07-11,CULEX PIPIENS/RESTUANS,T039,41.911823999999996,-87.726737,0,1,2007,07,11
