date,station_1,tmax_1,tmin_1,tavg_1,depart_1,dewpoint_1,wetbulb_1,heat_1,cool_1,sunrise_1,sunset_1,preciptotal_1,stnpressure_1,sealevel_1,resultspeed_1,resultdir_1,avgspeed_1,year,month,day,station_2,tmax_2,tmin_2,tavg_2,depart_2,dewpoint_2,wetbulb_2,heat_2,cool_2,sunrise_2,sunset_2,preciptotal_2,stnpressure_2,sealevel_2,resultspeed_2,resultdir_2,avgspeed_2,precip_avg,14day_precip,28day_precip,90day_precip,temp_avg,14day_tavg,28day_tavg,90day_tavg,tmin_avg,14day_tmin,28day_tmin,tmax_avg,14day_tmax,28day_tmax,dew_avg,14day_dew,28day_dew
2007-05-13,1,69,43,56.0,-2.0,33,46.0,9.0,0.0,434.0,1902.0,0.0,29.49,30.24,6.6,14,8.1,2007,5,13,2,69,44,57.0,-1.0,32,46.0,8.0,0.0,434.0,1902.0,0.0,29.55,30.24,6.4,11,7.6,0.0,0.075,0.075,0.075,56.5,61.90384615384615,61.90384615384615,61.90384615384615,43.5,42.5,42.5,69.0,83.5,83.5,32.5,43.38461538461539,43.38461538461539
2007-05-14,1,90,56,73.0,15.0,47,59.0,0.0,8.0,433.0,1903.0,0.0,29.23,29.97,16.9,21,17.3,2007,5,14,2,90,54,72.0,14.0,45,58.0,0.0,7.0,433.0,1903.0,0.0,29.31,29.98,14.1,21,14.6,0.0,0.075,0.075,0.075,72.5,62.660714285714285,62.660714285714285,62.660714285714285,55.0,42.5,42.5,90.0,90.0,90.0,46.0,43.57142857142857,43.57142857142857
2007-05-15,1,80,57,69.0,11.0,56,61.0,0.0,4.0,432.0,1904.0,0.38,29.13,29.84,8.1,27,12.3,2007,5,15,2,82,56,69.0,11.0,56,61.0,0.0,4.0,432.0,1904.0,0.6,29.19,29.83,8.1,25,10.8,0.49,0.565,0.565,0.565,69.0,62.767857142857146,63.083333333333336,63.083333333333336,56.5,42.5,42.5,81.0,90.0,90.0,56.0,43.92857142857143,44.4
2007-05-16,1,66,44,55.0,-4.0,43,48.0,10.0,0.0,431.0,1905.0,0.14,29.33,30.03,7.8,36,12.2,2007,5,16,2,64,45,55.0,-4.0,42,47.0,10.0,0.0,431.0,1905.0,0.07,29.39,30.03,8.0,36,11.8,0.10500000000000001,0.6699999999999999,0.6699999999999999,0.6699999999999999,55.0,63.017857142857146,62.578125,62.578125,44.5,43.5,42.5,65.0,90.0,90.0,42.5,43.964285714285715,44.28125
2007-05-17,1,62,43,53.0,-6.0,32,43.0,12.0,0.0,430.0,1906.0,0.0,29.55,30.27,10.5,3,11.3,2007,5,17,2,61,44,53.0,-6.0,32,43.0,12.0,0.0,430.0,1906.0,0.0,29.62,30.27,11.7,1,12.2,0.0,0.6699999999999999,0.6699999999999999,0.6699999999999999,53.0,62.732142857142854,62.01470588235294,62.01470588235294,43.5,43.5,42.5,61.5,90.0,90.0,32.0,43.392857142857146,43.55882352941177
2007-05-18,1,71,42,57.0,-3.0,30,46.0,8.0,0.0,429.0,1907.0,0.0,29.53,30.25,5.4,25,7.5,2007,5,18,2,70,43,57.0,-3.0,31,47.0,8.0,0.0,429.0,1907.0,0.0,29.6,30.26,3.4,22,5.5,0.0,0.6699999999999999,0.6699999999999999,0.6699999999999999,57.0,62.42857142857143,61.736111111111114,61.736111111111114,42.5,42.5,42.5,70.5,90.0,90.0,30.5,42.607142857142854,42.833333333333336
2007-05-19,1,80,56,68.0,8.0,39,53.0,0.0,3.0,428.0,1908.0,0.0,29.34,30.08,11.1,24,11.4,2007,5,19,2,80,56,68.0,8.0,37,53.0,0.0,3.0,428.0,1908.0,0.0,29.41,30.08,11.1,23,11.4,0.0,0.6699999999999999,0.6699999999999999,0.6699999999999999,68.0,63.0,62.06578947368421,62.06578947368421,56.0,42.5,42.5,80.0,90.0,90.0,38.0,42.57142857142857,42.578947368421055
2007-05-20,1,69,43,56.0,-5.0,40,44.0,9.0,0.0,427.0,1909.0,0.07,29.38,30.11,10.4,4,10.7,2007,5,20,2,69,44,57.0,-4.0,41,45.0,8.0,0.0,427.0,1909.0,0.11,29.44,30.11,8.6,3,9.7,0.09,0.7599999999999999,0.7599999999999999,0.7599999999999999,56.5,62.785714285714285,61.7875,61.7875,43.5,42.5,42.5,69.0,90.0,90.0,40.5,43.32142857142857,42.475
2007-05-21,1,80,44,62.0,1.0,50,56.0,3.0,0.0,426.0,1910.0,0.0,29.33,30.06,6.3,11,8.2,2007,5,21,2,79,46,63.0,2.0,50,57.0,2.0,0.0,426.0,1910.0,0.0,29.39,30.05,6.3,10,7.8,0.0,0.7599999999999999,0.7599999999999999,0.7599999999999999,62.5,62.535714285714285,61.82142857142857,61.82142857142857,45.0,42.5,42.5,79.5,90.0,90.0,50.0,44.035714285714285,42.833333333333336
2007-05-22,1,87,55,71.0,10.0,46,58.0,0.0,6.0,425.0,1911.0,0.0,29.34,30.06,10.0,18,10.2,2007,5,22,2,87,60,74.0,13.0,44,58.0,0.0,9.0,425.0,1911.0,0.0,29.41,30.05,10.1,16,10.6,0.0,0.7599999999999999,0.7599999999999999,0.7599999999999999,72.5,62.785714285714285,62.30681818181818,62.30681818181818,57.5,42.5,42.5,87.0,90.0,90.0,45.0,43.142857142857146,42.93181818181818
2007-05-23,1,89,60,75.0,14.0,49,61.0,0.0,10.0,425.0,1912.0,0.0,29.39,30.1,11.4,19,11.8,2007,5,23,2,89,66,78.0,17.0,48,61.0,0.0,13.0,425.0,1912.0,0.0,29.47,30.1,10.9,18,11.2,0.0,0.6849999999999999,0.7599999999999999,0.7599999999999999,76.5,63.285714285714285,62.92391304347826,62.92391304347826,63.0,42.5,42.5,89.0,90.0,90.0,48.5,42.357142857142854,43.17391304347826
2007-05-24,1,88,63,76.0,14.0,54,63.0,0.0,11.0,424.0,1913.0,0.02,29.41,30.11,14.9,21,17.3,2007,5,24,2,88,66,77.0,15.0,53,63.0,0.0,12.0,424.0,1913.0,0.02,29.47,30.1,13.8,20,15.2,0.02,0.705,0.7799999999999999,0.7799999999999999,76.5,63.714285714285715,63.489583333333336,63.489583333333336,64.5,42.5,42.5,88.0,90.0,90.0,53.5,42.464285714285715,43.604166666666664
2007-05-25,1,70,56,63.0,1.0,44,53.0,2.0,0.0,423.0,1914.0,0.09,29.51,30.24,4.9,5,8.8,2007,5,25,2,66,57,62.0,0.0,46,53.0,3.0,0.0,423.0,1914.0,0.09,29.57,30.23,4.5,5,8.2,0.09,0.7949999999999999,0.8699999999999999,0.8699999999999999,62.5,63.82142857142857,63.45,63.45,56.5,42.5,42.5,68.0,90.0,90.0,45.0,42.607142857142854,43.66
2007-05-26,1,65,49,57.0,-5.0,55,56.0,8.0,0.0,422.0,1915.0,1.01,29.36,30.11,2.8,17,7.2,2007,5,26,2,70,50,60.0,-2.0,55,57.0,5.0,0.0,422.0,1915.0,0.28,29.42,30.1,2.5,15,7.8,0.645,1.44,1.515,1.515,58.5,64.03571428571429,63.25961538461539,63.25961538461539,49.5,42.5,42.5,67.5,90.0,90.0,55.0,43.92857142857143,44.09615384615385
2007-05-27,1,75,57,66.0,4.0,47,56.0,0.0,1.0,422.0,1916.0,0.04,29.34,30.06,8.9,26,9.5,2007,5,27,2,75,59,67.0,5.0,49,57.0,0.0,2.0,422.0,1916.0,0.08,29.41,30.05,8.2,24,9.2,0.06,1.5,1.575,1.575,66.5,64.75,63.379629629629626,63.379629629629626,58.0,42.5,42.5,75.0,90.0,90.0,48.0,45.035714285714285,44.24074074074074
2007-05-28,1,79,50,65.0,2.0,47,56.0,0.0,0.0,421.0,1916.0,0.0,29.43,30.15,4.8,10,5.3,2007,5,28,2,76,54,65.0,2.0,49,57.0,0.0,0.0,421.0,1916.0,0.0,29.49,30.14,4.7,8,5.2,0.0,1.5,1.575,1.575,65.0,64.21428571428571,63.4375,63.4375,52.0,42.5,42.5,77.5,89.0,90.0,48.0,45.17857142857143,44.375
2007-05-29,1,88,60,74.0,10.0,58,65.0,0.0,9.0,421.0,1917.0,0.0,29.39,30.11,5.8,18,6.5,2007,5,29,2,88,65,77.0,13.0,59,66.0,0.0,12.0,421.0,1917.0,0.0,29.44,30.09,5.8,16,7.4,0.0,1.01,1.575,1.575,75.5,64.67857142857143,63.723214285714285,63.85344827586207,62.5,42.5,42.5,88.0,89.0,90.0,58.5,45.357142857142854,44.642857142857146
2007-05-30,1,87,66,77.0,13.0,58,65.0,0.0,12.0,420.0,1918.0,0.0,29.31,30.04,10.3,19,10.6,2007,5,30,2,89,70,80.0,16.0,57,66.0,0.0,15.0,420.0,1918.0,0.0,29.38,30.03,9.7,17,10.1,0.0,0.905,1.575,1.575,78.5,66.35714285714286,64.6875,64.34166666666667,68.0,42.5,42.5,88.0,89.0,90.0,57.5,46.42857142857143,45.19642857142857
2007-05-31,1,78,65,72.0,8.0,61,65.0,0.0,7.0,420.0,1919.0,0.01,29.28,30.0,9.3,19,9.9,2007,5,31,2,80,68,74.0,10.0,61,66.0,0.0,9.0,420.0,1919.0,0.53,29.34,29.99,8.9,18,9.2,0.27,1.175,1.845,1.845,73.0,67.78571428571429,65.25892857142857,64.62096774193549,66.5,42.5,42.5,79.0,89.0,90.0,61.0,48.5,45.94642857142857
2007-06-01,1,85,62,74.0,10.0,63,66.0,0.0,9.0,419.0,1920.0,0.19,29.19,29.91,4.2,17,6.4,2007,6,1,2,86,67,77.0,13.0,63,67.0,0.0,12.0,419.0,1920.0,0.21,29.25,29.9,4.7,16,5.8,0.2,1.375,2.045,2.045,75.5,69.10714285714286,65.76785714285714,64.9609375,64.5,43.5,42.5,85.5,89.0,90.0,63.0,50.82142857142857,46.714285714285715
2007-06-02,1,81,65,73.0,9.0,63,67.0,0.0,8.0,419.0,1920.0,0.04,29.03,29.77,6.5,22,7.4,2007,6,2,2,81,68,75.0,11.0,62,67.0,0.0,10.0,419.0,1920.0,0.04,29.1,29.76,7.5,21,8.2,0.04,1.415,2.085,2.085,74.0,69.53571428571429,66.26785714285714,65.23484848484848,66.5,43.5,42.5,81.0,89.0,90.0,62.5,52.57142857142857,47.57142857142857
2007-06-03,1,78,62,70.0,6.0,60,63.0,0.0,5.0,418.0,1921.0,0.01,28.82,29.56,5.2,25,6.7,2007,6,3,2,77,64,71.0,7.0,60,64.0,0.0,6.0,418.0,1921.0,0.32,28.87,29.54,4.9,24,7.2,0.165,1.49,2.25,2.25,70.5,70.53571428571429,66.66071428571429,65.38970588235294,63.0,45.0,42.5,77.5,89.0,90.0,60.0,53.964285714285715,48.642857142857146
2007-06-04,1,71,58,65.0,1.0,58,60.0,0.0,0.0,418.0,1922.0,0.39,28.82,29.52,7.8,31,9.7,2007,6,4,2,72,56,64.0,0.0,57,60.0,1.0,0.0,418.0,1922.0,0.31,28.88,29.51,7.9,30,10.1,0.35,1.8399999999999999,2.6,2.6,64.5,70.67857142857143,66.60714285714286,65.36428571428571,57.0,49.5,42.5,71.5,89.0,90.0,57.5,54.5,49.267857142857146
2007-06-05,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,417.0,1923.0,0.42,29.1,29.79,5.2,5,7.6,2007,6,5,2,63,51,57.0,-8.0,47,52.0,8.0,0.0,417.0,1923.0,0.27,29.16,29.78,6.2,3,8.1,0.345,2.1849999999999996,2.9450000000000003,2.9450000000000003,56.5,69.53571428571429,66.16071428571429,65.11805555555556,49.0,49.0,42.5,63.5,89.0,90.0,47.5,54.67857142857143,48.910714285714285
2007-06-06,1,71,44,58.0,-8.0,48,55.0,7.0,0.0,417.0,1923.0,0.01,29.07,29.81,10.8,17,11.4,2007,6,6,2,73,48,61.0,-5.0,47,55.0,4.0,0.0,417.0,1923.0,0.01,29.13,29.82,9.6,15,10.6,0.01,2.1949999999999994,2.88,2.955,59.5,68.32142857142857,65.80357142857143,64.96621621621621,46.0,46.0,42.5,72.0,88.0,90.0,47.5,54.607142857142854,48.482142857142854
2007-06-07,1,91,71,81.0,15.0,62,69.0,0.0,16.0,417.0,1924.0,0.0,28.84,29.55,22.7,20,23.1,2007,6,7,2,92,71,82.0,16.0,61,68.0,0.0,17.0,417.0,1924.0,0.0,28.91,29.55,20.3,19,20.7,0.0,2.1749999999999994,2.88,2.955,81.5,68.67857142857143,66.19642857142857,65.40131578947368,71.0,46.0,42.5,91.5,91.5,91.5,61.5,55.17857142857143,48.82142857142857
2007-06-08,1,81,57,69.0,3.0,53,61.0,0.0,4.0,417.0,1925.0,0.0,29.18,29.85,10.9,28,13.8,2007,6,8,2,81,63,72.0,6.0,54,62.0,0.0,7.0,417.0,1925.0,0.0,29.24,29.83,9.3,26,12.4,0.0,2.0849999999999995,2.88,2.955,70.5,69.25,66.53571428571429,65.53205128205128,60.0,46.0,42.5,81.0,91.5,91.5,53.5,55.785714285714285,49.19642857142857
2007-06-09,1,79,52,66.0,0.0,47,57.0,0.0,1.0,416.0,1925.0,0.0,29.36,30.07,0.3,33,5.0,2007,6,9,2,79,57,68.0,2.0,49,58.0,0.0,3.0,416.0,1925.0,0.0,29.42,30.05,2.4,19,4.7,0.0,1.4399999999999995,2.88,2.955,67.0,69.85714285714286,66.94642857142857,65.56875,54.5,46.0,42.5,79.0,91.5,91.5,48.0,55.285714285714285,49.607142857142854
2007-06-10,1,81,55,68.0,1.0,51,59.0,0.0,3.0,416.0,1926.0,0.0,29.34,30.05,4.8,17,5.6,2007,6,10,2,81,61,71.0,4.0,50,60.0,0.0,6.0,416.0,1926.0,0.0,29.39,30.04,4.6,16,5.8,0.0,1.3799999999999994,2.88,2.955,69.5,70.07142857142857,67.41071428571429,65.66463414634147,58.0,46.0,42.5,81.0,91.5,91.5,50.5,55.464285714285715,50.25
2007-06-11,1,86,58,72.0,5.0,52,61.0,0.0,7.0,416.0,1926.0,0.0,29.41,30.11,4.9,11,6.9,2007,6,11,2,85,65,75.0,8.0,51,61.0,0.0,10.0,416.0,1926.0,0.0,29.47,30.09,6.6,9,8.4,0.0,1.3799999999999994,2.88,2.955,73.5,70.67857142857143,67.44642857142857,65.85119047619048,61.5,46.0,42.5,85.5,91.5,91.5,51.5,55.714285714285715,50.44642857142857
2007-06-12,1,83,62,73.0,5.0,50,60.0,0.0,8.0,416.0,1927.0,0.0,29.44,30.16,8.3,5,8.8,2007,6,12,2,82,66,74.0,6.0,51,61.0,0.0,9.0,416.0,1927.0,0.0,29.49,30.14,9.4,5,10.0,0.0,1.3799999999999994,2.3899999999999997,2.955,73.5,70.53571428571429,67.60714285714286,66.02906976744185,64.0,46.0,42.5,82.5,91.5,91.5,50.5,55.142857142857146,50.25
2007-06-13,1,87,60,74.0,6.0,53,62.0,0.0,9.0,416.0,1927.0,0.0,29.36,30.09,7.2,5,8.6,2007,6,13,2,86,68,77.0,9.0,53,62.0,0.0,12.0,416.0,1927.0,0.0,29.44,30.09,7.0,5,8.6,0.0,1.3799999999999994,2.2849999999999997,2.955,75.5,70.32142857142857,68.33928571428571,66.24431818181819,64.0,46.0,42.5,86.5,91.5,91.5,53.0,54.82142857142857,50.625
2007-06-14,1,89,64,77.0,9.0,55,64.0,0.0,12.0,416.0,1928.0,0.0,29.3,30.02,5.6,5,6.8,2007,6,14,2,89,68,79.0,11.0,54,63.0,0.0,14.0,416.0,1928.0,0.0,29.36,30.0,5.9,7,6.4,0.0,1.1099999999999994,2.2849999999999997,2.955,78.0,70.67857142857143,69.23214285714286,66.50555555555556,66.0,46.0,42.5,89.0,91.5,91.5,54.5,54.357142857142854,51.42857142857143
2007-06-15,1,91,63,77.0,9.0,56,64.0,0.0,12.0,416.0,1928.0,0.0,29.28,29.99,4.1,6,4.9,2007,6,15,2,89,67,78.0,10.0,56,65.0,0.0,13.0,416.0,1928.0,0.0,29.34,29.97,3.8,9,4.1,0.0,0.9099999999999995,2.2849999999999997,2.955,77.5,70.82142857142857,69.96428571428571,66.7445652173913,65.0,46.0,43.5,90.0,91.5,91.5,56.0,53.857142857142854,52.339285714285715
2007-06-16,1,93,66,80.0,11.0,60,67.0,0.0,15.0,416.0,1929.0,0.0,29.26,29.97,4.8,28,5.8,2007,6,16,2,92,68,80.0,11.0,61,68.0,0.0,15.0,416.0,1929.0,0.0,29.33,29.96,2.1,22,6.1,0.0,0.8699999999999994,2.2849999999999997,2.955,80.0,71.25,70.39285714285714,67.02659574468085,67.0,46.0,43.5,92.5,92.5,92.5,60.5,53.714285714285715,53.142857142857146
2007-06-17,1,91,70,81.0,12.0,64,70.0,0.0,16.0,416.0,1929.0,0.0,29.23,29.95,2.8,11,6.3,2007,6,17,2,91,71,81.0,12.0,65,70.0,0.0,16.0,416.0,1929.0,0.16,29.28,29.93,4.0,11,6.1,0.08,0.7849999999999994,2.275,3.035,81.0,72.0,71.26785714285714,67.31770833333333,70.5,46.0,45.0,91.0,92.5,92.5,64.5,54.035714285714285,54.0
2007-06-18,1,89,69,79.0,9.0,65,70.0,0.0,14.0,416.0,1929.0,0.28,29.12,29.84,14.0,20,15.1,2007,6,18,2,89,73,81.0,11.0,65,70.0,0.0,16.0,416.0,1929.0,0.02,29.19,29.83,12.2,20,12.6,0.15000000000000002,0.5849999999999994,2.425,3.185,80.0,73.10714285714286,71.89285714285714,67.5765306122449,71.0,46.0,46.0,89.0,92.5,92.5,65.0,54.57142857142857,54.535714285714285
2007-06-19,1,80,65,73.0,3.0,55,63.0,0.0,8.0,416.0,1930.0,0.58,29.26,29.95,10.7,28,11.4,2007,6,19,2,81,65,73.0,3.0,55,63.0,0.0,8.0,416.0,1930.0,0.93,29.31,29.93,10.1,29,11.3,0.755,0.9949999999999994,3.1799999999999997,3.94,73.0,74.28571428571429,71.91071428571429,67.685,65.0,46.0,46.0,80.5,92.5,92.5,55.0,55.107142857142854,54.892857142857146
2007-06-20,1,84,61,73.0,3.0,52,61.0,0.0,8.0,416.0,1930.0,0.0,29.39,30.1,7.8,27,8.8,2007,6,20,2,85,62,74.0,4.0,50,61.0,0.0,9.0,416.0,1930.0,0.0,29.46,30.09,5.9,28,7.7,0.0,0.9849999999999994,3.1799999999999997,3.94,73.5,75.28571428571429,71.80357142857143,67.79901960784314,61.5,54.5,46.0,84.5,92.5,92.5,51.0,55.357142857142854,54.982142857142854
2007-06-21,1,77,61,69.0,-1.0,51,60.0,0.0,4.0,416.0,1930.0,0.01,29.36,30.08,3.5,3,10.7,2007,6,21,2,80,66,73.0,3.0,51,61.0,0.0,8.0,416.0,1930.0,0.01,29.41,30.06,3.7,2,9.6,0.01,0.9949999999999994,3.1699999999999995,3.9499999999999997,71.0,74.53571428571429,71.60714285714286,67.86057692307692,63.5,54.5,46.0,78.5,92.5,92.5,51.0,54.607142857142854,54.892857142857146
2007-06-22,1,76,61,69.0,-1.0,50,58.0,0.0,4.0,417.0,1931.0,0.0,29.33,30.06,7.8,6,8.7,2007,6,22,2,75,62,69.0,-1.0,49,58.0,0.0,4.0,417.0,1931.0,0.0,29.39,30.05,6.5,7,8.1,0.0,0.9949999999999994,3.0799999999999996,3.9499999999999997,69.0,74.42857142857143,71.83928571428571,67.88207547169812,61.5,54.5,46.0,75.5,92.5,92.5,49.5,54.32142857142857,55.05357142857143
2007-06-23,1,67,62,65.0,-5.0,58,61.0,0.0,0.0,417.0,1931.0,0.05,29.23,29.96,7.6,12,9.0,2007,6,23,2,68,61,65.0,-5.0,60,62.0,0.0,0.0,417.0,1931.0,0.34,29.28,29.95,7.3,11,8.1,0.195,1.1899999999999995,2.6299999999999994,4.145,65.0,74.28571428571429,72.07142857142857,67.82870370370371,61.5,58.0,46.0,67.5,92.5,92.5,59.0,55.107142857142854,55.19642857142857
2007-06-24,1,77,63,70.0,-1.0,62,65.0,0.0,5.0,417.0,1931.0,0.0,29.26,29.97,7.0,9,8.0,2007,6,24,2,75,65,70.0,-1.0,62,65.0,0.0,5.0,417.0,1931.0,0.0,29.33,29.96,5.6,10,6.0,0.0,1.1899999999999995,2.5699999999999994,4.145,70.0,74.32142857142857,72.19642857142857,67.86818181818182,64.0,61.5,46.0,76.0,92.5,92.5,62.0,55.92857142857143,55.69642857142857
2007-06-25,1,89,65,77.0,6.0,66,70.0,0.0,12.0,417.0,1931.0,0.0,29.38,30.07,3.9,14,6.8,2007,6,25,2,86,67,77.0,6.0,67,70.0,0.0,12.0,417.0,1931.0,0.0,29.44,30.06,4.0,12,5.9,0.0,1.1899999999999995,2.5699999999999994,4.145,77.0,74.57142857142857,72.625,68.03125,66.0,61.5,46.0,87.5,92.5,92.5,66.5,57.0,56.357142857142854
2007-06-26,1,92,70,81.0,10.0,69,72.0,0.0,16.0,418.0,1931.0,0.16,29.39,30.11,6.1,22,7.1,2007,6,26,2,91,73,82.0,11.0,69,72.0,0.0,17.0,418.0,1931.0,0.16,29.45,30.09,7.3,21,8.1,0.16,1.3499999999999994,2.7299999999999995,4.305,81.5,75.14285714285714,72.83928571428571,68.26754385964912,71.5,61.5,46.0,91.5,92.5,92.5,69.0,58.32142857142857,56.732142857142854
2007-06-27,1,91,71,81.0,10.0,70,72.0,0.0,16.0,418.0,1931.0,0.15,29.29,30.02,7.5,24,8.8,2007,6,27,2,89,71,80.0,9.0,69,72.0,0.0,15.0,418.0,1931.0,0.35,29.36,30.0,7.9,24,8.5,0.25,1.5999999999999994,2.9799999999999995,4.555,80.5,75.5,72.91071428571429,68.47844827586206,71.0,61.5,46.0,90.0,92.5,92.5,69.5,59.5,57.160714285714285
2007-06-28,1,74,58,66.0,-5.0,55,60.0,0.0,1.0,419.0,1931.0,0.0,29.41,30.09,11.9,3,12.5,2007,6,28,2,73,61,67.0,-4.0,56,61.0,0.0,2.0,419.0,1931.0,0.0,29.43,30.07,12.2,2,13.3,0.0,1.5999999999999994,2.7099999999999995,4.555,66.5,74.67857142857143,72.67857142857143,68.44491525423729,59.5,59.5,46.0,73.5,92.5,92.5,55.5,59.57142857142857,56.964285714285715
